date,d,t,cp,cpj,f1,f2,f3,f4,f5,f6,z1,z2,z3,z4,z5,z6,fz1,fz2,fz3,fz4,fz5,fz6,X1,X2,X3,X4,X5,X6
8/27/1997,657,603,11719.0,11421.00000000001,-0.001346577594346865,-0.07240307785771571,-0.005144603907254464,-0.000694098828894818,0.3503070624360299,0.11630277801376307,-0.15344523694571557,-1.1601435692999726,-1.067207806756041,-0.46775716970707976,-0.5035760487113912,-1.2629609021731514,0.4390235866667794,0.12299517888330208,0.1429390040387093,0.31997912632190095,0.30727966354091785,0.10330161551375394,0.6,0.2,0.2,0.4,0.4,0.2
8/28/1997,658,604,11267.0,11438.400000000009,0.004482162678620227,-0.07015401183866099,-0.004288062677066273,-0.0008989267782393284,0.4675658317276818,0.12369382380426498,0.05950254103643285,-1.1305023339142963,-0.9084224754264639,-0.5438555562226065,-0.23397785127653703,-1.243313754729976,0.5237240791945461,0.1291323077787006,0.1818275278036388,0.2932704373267804,0.407501086783935,0.10687611877069852,0.6,0.2,0.2,0.4,0.6,0.2
8/29/1997,659,605,10609.0,11328.60000000001,-0.0012888756455387007,-0.07797982797030623,-0.003876227677003241,-0.0011930357149824156,0.36236516180583567,0.0770537762297177,-0.15133714819780447,-1.2336415286190454,-0.8320766386665016,-0.6531239232475673,-0.4758523920993698,-1.3672940299748442,0.4398548833556396,0.10866825548677322,0.2026828435930238,0.256838195241211,0.31708977064530497,0.08576658110903573,0.6,0.2,0.4,0.4,0.4,0.2
9/1/1997,660,606,10109.0,11066.00000000001,-0.019409767267106526,-0.09780315966193698,-0.005129055065492882,-0.0017173018404592622,0.0,0.0,-0.8133676084955135,-1.4949002181469444,-1.0643253675880382,-0.8479010832064943,-1.3089925915590417,-1.572121187801979,0.20800366244959073,0.06747024267595995,0.14359066501565265,0.19824653062503667,0.09526843012934788,0.05796122429813751,0.4,0.2,0.2,0.2,0.2,0.2
9/2/1997,661,607,11063.0,10953.400000000009,-0.02442022234533081,-0.10519654894436237,-0.00509169661782316,-0.001996801465169007,0.0,0.0,-0.9964200736286184,-1.5923403066821917,-1.0573998708552164,-0.9517417482142401,-1.3089925915590417,-1.572121187801979,0.15952304183896754,0.05565413048519468,0.1451645652254871,0.17061398552160334,0.09526843012934788,0.05796122429813751,0.2,0.2,0.2,0.2,0.2,0.2
9/3/1997,662,608,11119.0,10833.400000000009,-0.030842285313503193,-0.11291511223056061,-0.004401660910009153,-0.0023497842191615437,0.0,0.0,-1.2310443620835916,-1.6940659782574532,-0.9294812784595959,-1.0828831189724835,-1.3089925915590417,-1.572121187801979,0.10915313642896535,0.045126373174715295,0.1763198615511687,0.13943015283383864,0.09526843012934788,0.05796122429813751,0.2,0.2,0.2,0.2,0.2,0.2
9/4/1997,663,609,11431.0,10866.200000000008,-0.025148656262222735,-0.1079286329771032,-0.0028305195130503558,-0.002579026494469616,0.05421487603305665,0.012293853073462995,-1.0230327509387374,-1.6283474070615551,-0.638223603418191,-1.1680520001135573,-1.1843432118925035,-1.5394412192528109,0.1531461805066756,0.05172562131381352,0.2616640672518259,0.12139289514489776,0.11813861495788491,0.06184830883988082,0.2,0.2,0.4,0.2,0.2,0.2
9/5/1997,664,610,11838.0,11112.00000000001,-0.0027820156151834308,-0.0855531218584411,-0.000315793628863581,-0.0024018000693547537,0.46049586776859563,0.10442278860569729,-0.20588767264419935,-1.3334526434912801,-0.17204454670666489,-1.1022082271210738,-0.2502329215865297,-1.294540723234953,0.4184393274840893,0.09119165321436346,0.4317012539438192,0.13518557804610842,0.40120361358882584,0.09773935617620916,0.6,0.2,0.6,0.2,0.6,0.2
9/8/1997,665,611,11685.0,11427.200000000008,0.02308824530052056,-0.05763662998878205,0.0023620209997308184,-0.002098487706318375,0.9814876033057839,0.22256371814092926,0.7392590176908717,-0.9655313376513238,0.3243678477639785,-0.9895205714024782,0.9476172147212025,-0.9804941962014779,0.7701251351188657,0.16713937381731536,0.627170220650921,0.16120425503983454,0.8283378203987173,0.1634211165515051,0.8,0.2,0.8,0.2,1.0,0.2
9/9/1997,666,612,11735.0,11561.60000000001,0.0322138279655535,-0.0446521974090196,0.002816644164550741,-0.001989756317525848,1.0,0.272938530734633,1.072653964163922,-0.7944049148671913,0.4086457404232403,-0.9491243106520141,0.9901804175341706,-0.846586032390248,0.8582867986592974,0.21347987193160856,0.6586001708747797,0.17127869565497839,0.8389570288559127,0.19861295098936183,1.0,0.4,0.8,0.2,1.0,0.2
9/10/1997,667,613,11361.0,11610.00000000001,0.034788870983843756,-0.03868127937362831,0.001687382485862532,-0.002050904066937753,1.0,0.2910794602698652,1.166730842404067,-0.7157120772821034,0.1993035821141703,-0.9718421335086751,0.9901804175341706,-0.7983631519701334,0.8783404583549248,0.23708457592322707,0.578987361368543,0.16556454565408313,0.8389570288559127,0.21232989001933744,1.0,0.4,0.6,0.2,1.0,0.4
9/11/1997,668,614,11094.0,11542.60000000001,0.027827000650039846,-0.04212092051195382,0.0009287252399354795,-0.002235293727995691,0.9132114344578939,0.2658170914542731,0.912385177859863,-0.7610443226495444,0.058663951569305074,-1.0403472166360426,0.7906384901418431,-0.8655165019766569,0.8192170053223655,0.22331529710106662,0.5233901138271431,0.14908930750920368,0.7854225103449878,0.19337768128386323,1.0,0.4,0.6,0.2,0.8,0.2
9/12/1997,669,615,11292.0,11433.400000000009,0.01715391910381947,-0.04874976496213679,0.0009332062937998931,-0.002557973484842102,0.7725985063095541,0.22488755622188905,0.5224537530491054,-0.8484082048202826,0.05949464785979217,-1.160230313331667,0.4673450410136169,-0.9743168850732806,0.6993227808510958,0.19810533742607017,0.5237209358414495,0.12297752410953766,0.6798734817661873,0.16494961169430422,0.8,0.2,0.6,0.2,0.8,0.2
